Renderer,Driver,MSAA,width,height,FPS,seconds,core_temp,core_temp_fahrenheit,core_vddc,core_load,gpu_power,core_clock,mem_clock,sys_mem_load,proc_mem_load,gpu_mem_load
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1280,1024,0,0.0,39.0,102.2,0.000,9.0,21.0,1410.0,7000.0,36,38981632,-1
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1280,1024,0,0.0,43.0,109.4,0.000,16.0,0.0,139.0,405.0,36,38989824,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1280,1024,0,0.0,38.0,100.4,0.000,3.0,8.5,420.0,405.0,36,43384832,-1
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1280,1024,0,0.0,44.0,111.2,0.000,5.0,0.0,1227.0,3003.0,36,43384832,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1280,1024,0,0.0,37.0,98.6,0.000,14.0,4.9,435.0,405.0,36,43429888,-1
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1280,1024,0,0.0,44.0,111.2,0.000,4.0,0.0,1227.0,3003.0,36,43429888,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,208,1.2,48.0,118.4,0.000,81.0,99.4,1515.0,7000.0,36,109027328,1395
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,208,1.2,45.0,113.0,0.000,4.0,0.0,1227.0,3003.0,36,109027328,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,249,3.3,50.0,122.0,0.000,97.0,99.5,1485.0,7000.0,36,108519424,1395
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,249,3.3,45.0,113.0,0.000,4.0,0.0,1227.0,3003.0,36,108519424,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,251,5.3,51.0,123.8,0.000,98.0,99.0,1500.0,7000.0,36,108523520,1395
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,251,5.3,45.0,113.0,0.000,4.0,0.0,1227.0,3003.0,36,108523520,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,251,7.3,51.0,123.8,0.000,98.0,99.4,1485.0,7000.0,36,106938368,1395
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,251,7.3,45.0,113.0,0.000,6.0,0.0,1227.0,3003.0,36,106938368,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,249,9.4,52.0,125.6,0.000,98.0,98.9,1485.0,7000.0,36,106938368,1392
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,249,9.4,45.0,113.0,0.000,4.0,0.0,1227.0,3003.0,36,106938368,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,249,9.6,45.0,113.0,0.000,3.0,34.9,1875.0,7000.0,36,84176896,1392
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,249,9.6,45.0,113.0,0.000,4.0,0.0,1227.0,3003.0,36,84176896,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,249,9.6,43.0,109.4,0.000,4.0,15.5,420.0,5000.0,36,84176896,1392
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1264,681,249,9.6,45.0,113.0,0.000,4.0,0.0,1227.0,3003.0,36,84176896,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1280,1024,0,0.0,42.0,107.6,0.000,12.0,21.3,1410.0,7000.0,36,39165952,-1
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1280,1024,0,0.0,45.0,113.0,0.000,4.0,0.0,1227.0,3003.0,36,39174144,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1280,1024,0,0.0,41.0,105.8,0.000,4.0,5.5,420.0,405.0,36,50585600,-1
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1280,1024,0,0.0,45.0,113.0,0.000,4.0,0.0,1227.0,3003.0,36,50585600,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1280,1024,0,0.0,42.0,107.6,0.000,3.0,21.7,1410.0,7000.0,36,50749440,-1
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1280,1024,0,0.0,45.0,113.0,0.000,6.0,0.0,1227.0,3003.0,36,50749440,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1280,1024,0,0.0,41.0,105.8,0.000,10.0,5.4,420.0,405.0,37,50749440,-1
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1280,1024,0,0.0,45.0,113.0,0.000,8.0,0.0,1227.0,3003.0,37,50749440,-1
"NVIDIA GeForce RTX 2070","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1280,1024,0,0.0,42.0,107.6,0.000,4.0,21.7,1410.0,7000.0,36,50954240,-1
"NVIDIA GeForce GT 1030","R471.41 (r471_34) / 30.0.14.7141 (7-12-2021)",0,1280,1024,0,0.0,45.0,113.0,0.000,4.0,0.0,1227.0,3003.0,36,50954240,-1
